medicine_name,substance_name
Abirateron Msn,Abiraterone Acetate
Abirateron Normon,Abiraterone Acetate
Abirateron Pharmagen,Abiraterone Acetate
Abirateron Pharmascience,Abiraterone Acetate
Abirateron Polisano,Abiraterone Acetate
Abirateron Qilu,Abiraterone Acetate
Abirateron Ratiopharm,Abiraterone Acetate
Abirateron Sandoz,Abiraterone Acetate
Abirateron Stada,Abiraterone Acetate
Abirateron Sun,Abiraterone Acetate
Abirateron Synthon,Abiraterone Acetate
Abirateron Teva,Abiraterone Acetate
Abirateron Uropharm,Abiraterone Acetate
Abirateron Vipharm,Abiraterone Acetate
Abirateron Vivanta,Abiraterone Acetate
Abirateron Xiromed,Abiraterone Acetate
Abirateron Zentiva,Abiraterone Acetate
Abirateron? Lannacher,Abiraterone Acetate
Abirateronă,Abiraterone Acetate
Abiraterona Bluepharma,Abiraterone Acetate
Abiraterona Cipla,Abiraterone Acetate
Abiraterona Dr. Reddys,Abiraterone Acetate
Abiraterona Efg Synthon,Abiraterone Acetate
Abiraterona Eugia,Abiraterone Acetate
Abiraterona Exeltis,Abiraterone Acetate
Abiraterona Farmoz,Abiraterone Acetate
Abiraterona Generis,Abiraterone Acetate
Abiraterona Glenmark,Abiraterone Acetate
Abiraterona Kern Pharma,Abiraterone Acetate
Abiraterona Msn,Abiraterone Acetate
Abiraterona Normon,Abiraterone Acetate
Abiraterona Olpha,Abiraterone Acetate
Abirateronă Pharmazac,Abiraterone Acetate
Abiraterona Polisano,Abiraterone
Abiraterona Qilu,Abiraterone Acetate
Abiraterona Sandoz,Abiraterone Acetate
Abiraterona Stada,Abiraterone Acetate
Abirateronă Sun,Abiraterone Acetate
Abiraterona Tarbis,Abiraterone Acetate
Abiraterona Tecnigen,Abiraterone Acetate
Abiraterona Teva,Abiraterone Acetate
Abiraterona Tronyl,Abiraterone Acetate
Abiraterona Vivanta,Abiraterone Acetate
Abiraterona Zentiva,Abiraterone Acetate
Abirateronacetaat Amarox,Abiraterone Acetate
Abirateronacetaat Eg (Eurogenerics) Nv,Abiraterone Acetate
Abirateronacetat,Abiraterone Acetate
Abirateronacetat Eg (Eurogenerics) Nv,Abiraterone Acetate
Abiraterone,Abiraterone Acetate
Abiraterone Abdi,Abiraterone Acetate
Abiraterone Abdi Farma,Abiraterone Acetate
Abiraterone Accord,Abiraterone Acetate
Abiraterone Acetate Zydus,Abiraterone Acetate
Abiraterone Agmed,Abiraterone Acetate
Abiraterone Amarox,Abiraterone Acetate
Abiraterone Aristo,Abiraterone Acetate
Abiraterone Ariti,Abiraterone Acetate
Abiraterone Arrow,Abiraterone
Abiraterone Ashcure,Abiraterone Acetate
Abiraterone Avansor,Abiraterone Acetate
Abiraterone Biogaran,Abiraterone Acetate
Abiraterone Clonmel,Abiraterone Acetate
Abiraterone Cristers,Abiraterone Acetate
Abiraterone Day Zero 500 Mg,Abiraterone Acetate
Abiraterone Eg,Abiraterone Acetate
Abiraterone Eugia,Abiraterone Acetate
Abiraterone Evolugen,Abiraterone Acetate
Abiraterone Faran,Abiraterone Acetate
Abiraterone Farmoz,Abiraterone Acetate
Abiraterone G.L.,Abiraterone Acetate
Abiraterone G.L. Pharma,Abiraterone Acetate
Abiraterone Genus Pharmaceuticals,Abiraterone Acetate
Abiraterone Genus Pharmaceuticals Ltd.,Abiraterone Acetate
Abiraterone Glenmark,Abiraterone Acetate
Abiraterone Glenmark Pharmaceuticals Europe,Abiraterone Acetate
Abiraterone Heaton,Abiraterone Acetate
Abiraterone Krka,Abiraterone Acetate
Abiraterone Medac,Abiraterone Acetate
Abiraterone Medical Valley,Abiraterone Acetate
Abiraterone Msn,Abiraterone Acetate
Abiraterone Msn Labs Europe Limited,Abiraterone
Abiraterone Mylan,Abiraterone Acetate
Abiraterone Norameda,Abiraterone Acetate
Abiraterone Olpha,Abiraterone
Abiraterone Olpha,Abiraterone Acetate
Abiraterone Olpha 250 Mg,Abiraterone Acetate
Abiraterone Pharmascience,Abiraterone Acetate
Abiraterone Pharmazac,Abiraterone Acetate
Abiraterone Pharmevid,Abiraterone Acetate
Abiraterone Qilu,Abiraterone Acetate
Abiraterone Qilu Pharma Spain,Abiraterone Acetate
Abiraterone Rafarm,Abiraterone Acetate
Abiraterone Richter,Abiraterone Acetate
Abiraterone Rowa,Abiraterone Acetate
Abiraterone Sandoz,Abiraterone Acetate
Abiraterone Sandoz Gmbh,Abiraterone Acetate
Abiraterone Sapiens,Abiraterone Acetate
Abiraterone Stada,Abiraterone Acetate
Abiraterone Sun,Abiraterone Acetate
Abiraterone Sun Pharmaceutical Industries Europe,Abiraterone Acetate
Abiraterone Synthon,Abiraterone Acetate
Abiraterone Tecnigen,Abiraterone Acetate
Abiraterone Teva,Abiraterone Acetate
Abiraterone Torrent Pharma (Uk),Abiraterone Acetate
Abiraterone Vipharm,Abiraterone Acetate
Abiraterone Vivanta,Abiraterone
Abiraterone Vivanta,Abiraterone Acetate
Abiraterone Vocate,Abiraterone Acetate
Abiraterone Wockhardt Uk,Abiraterone Acetate
Abiraterone Zentiva,Abiraterone Acetate
Abiraterone Zydus,Abiraterone
Abis,Amlodipine Besilate
Abisax,Bilastine
Abix,Hydrocortisone
Abmetfina Xr,Metformin Hydrochloride
Abnoba,Viscum Album Abietis Ex Herba Recente Col. D30
Abnobaviscum Abietis,Extract Of Fresh Fir Mistletoe Herb
Abnobaviscum Amygdali,Extract Of Fresh Almond Mistletoe Herb
Abnobaviscum Betulae,Extract Of Fresh Birch Mistletoe Herb
Abnobaviscum Crataegi,Extract Of Fresh Hawthorn Mistletoe Herb
Abnobaviscum Fraxini,Extract Of Fresh Ash Mistletoe Herb
Abnobaviscum Fraxini,Viscum Album Fraxini Ex Herba Recente Col. D10
Abnobaviscum Fraxini,Viscum Album Fraxini Ex Herba Recente Col. D20
Abnobaviscum Fraxini,Viscum Album Fraxini Ex Herba Recente Col. D30
Abnobaviscum Pini,Extract Of Fresh Pine Mistletoe Herb
Abnobaviscum Quercus,Extract Of Fresh Oak Mistletoe Herb
Abnobaviscum Quercus,Viscum Album Quercus Ex Herba Recente Col. D6
Abolibe Forte,Ginkgo Biloba Extract
Abormib,Bortezomib
Aboxoma,Apixaban
Abradel,Brimonidine Tartrate
Abraxane,Paclitaxel Albumin-Bound
Abrea,Acetylsalicylic Acid
Abrilia,Bilastine
Abrion,Ibandronic Acid
Abrix,Vortioxetine
Abrobion,Ambroxol Hydrochloride
Abseamed,Epoetin Alfa
Absenor,Sodium Valproate
Absenor Depot,Sodium Valproate
Absken,Prucalopride
Absorcol,Ezetimibe
Abstral,Fentanyl
Abstral,Fentanyl Citrate
Abt Strabo Blasen- Und Nierentee,Betulae Folium
Abt Strabo Hals-Rachentee,Sage Leaf (Salvia Officinalis)
Abt Strabo Husten-Bronchialtee,Thyme
Abt Strabo Magen-Darmtee,Matricariae Flos
Abt Strabo Schlaf-Nerventee,Melissa Leaf
Abtard,Oxycodone Hydrochloride
Abufene,Beta-Alanine
Abutrax,Paclitaxel
Abuxar,Febuxostat
Abyca,Aripiprazole
Acalka,Potassium Citrate
Acamba,Travoprost
Acamprosat Viatris,Acamprosate Calcium
Acamprosate Biogaran,Acamprosate Calcium
Acamprosate Generics [uk] Ltd,Acamprosate Calcium
Acamprosate Strandhaven  Somex Pharma,Acamprosate Calcium
Acamprosate Viatris,Acamprosate Calcium
Acapril,Ramipril
Acara,Risedronate Sodium
Acarbosa Farmalider,Acarbose
Acarbosa Qualigen,Acarbose
Acarbosa Tarbis,Acarbose
Acarbosa Tecnigen,Acarbose
Acarbosa Viatris,Acarbose
Acarbose Abz,Acarbose
Acarbose Al,Acarbose
Acarbose Arrow,Acarbose
Acarbose Arrow Lab,Acarbose
Acarbose Aurovitas,Acarbose
Acarbose Berar Laboratórios Basi - Indústria Farmacêutica,Acarbose
Acarbose Biogaran,Acarbose
Acarbose Bluepharma,Acarbose
Acarbose Crescent Pharma,Acarbose
Acarbose Dura,Acarbose
Acarbose Eg,Acarbose
Acarbose Establix,Acarbose
Acarbose Farmoz,Acarbose
Acarbose Friulchem,Acarbose
Acarbose Generics [uk] Ltd,Acarbose
Acarbose Generis,Acarbose
Acarbose Genevida,Acarbose
Acarbose Glenmark Pharmaceuticals Europe,Acarbose
Acarbose Morningside Healthcare,Acarbose
Acarbose Mylan,Acarbose
Acarbose Sandoz,Acarbose
Acarbose Stada,Acarbose
Acarbose Viatris,Acarbose
Acarbose Zentiva,Acarbose
Acarbosio Aurobindo,Acarbose
Acarbosio Doc Generici,Acarbose
Acarbosio Tecnigen,Acarbose
Acard,Acetylsalicylic Acid
Acard Cor,Acetylsalicylic Acid
Acard Pro,Acetylsalicylic Acid
Acarden,Carvedilol
Acarilbial,Benzyl Benzoate
Acarphage,Acarbose
Acatar Acti Form,Phenylephrine Hydrochloride
Acatar Allergy,Azelastine Hydrochloride
Acatar Care,Oxymetazoline Hydrochloride
Acatar Care Kids,Oxymetazoline Hydrochloride
Acatar Control,Oxymetazoline Hydrochloride
Acatar Mono,Dextromethorphan Hydrobromide
Acc,Acetylcysteine
Acc Akut Hustenlöser,Acetylcysteine
Acc Akut Z Hustenlöser,Acetylcysteine
Acc Classic,Acetylcysteine
Acc Cu Aroma De Mure,Acetylcysteine
Acc Direkt,Acetylcysteine
Acc Direkt Hexal  Ag,Acetylcysteine
Acc Fluidificante E Antidoto,Acetylcysteine
Acc Hexal  Ag,Acetylcysteine
Acc Hot,Acetylcysteine
Acc Injekt,Acetylcysteine
Acc Junior,Acetylcysteine
Acc Kindersaft,Acetylcysteine
Acc Kindersaft Hexal  Ag,Acetylcysteine
Acc Lămâie Şi Miere,Acetylcysteine
Acc Long,Acetylcysteine
Acc Long Instant,Acetylcysteine
Acc Neo,Acetylcysteine
Acc Optima,Acetylcysteine
Acc Optima Active,Acetylcysteine
Acc Tabs,Acetylcysteine
Accofil,Filgrastim
Accupaque,Iohexol
Accu-Thyrox,Levothyroxine Sodium
Acea,Metronidazole
Acebutolol Almus,Acebutolol Hydrochloride
Acebutolol Arrow Lab,Acebutolol Hydrochloride
Acebutolol Biogaran,Acebutolol Hydrochloride
Acebutolol Cristers,Acebutolol
Acebutolol Eg,Acebutolol
Acebutolol Eg,Acebutolol Hydrochloride
Acebutolol Gedeon Richter,Acebutolol
Acebutolol Hydrochloride Aurobindo,Acebutolol
Acebutolol Lp Zentiva,Acebutolol Hydrochloride
Acebutolol Milpharm,Acebutolol
Acebutolol Sandoz,Acebutolol Hydrochloride
Acebutolol Teva,Acebutolol Hydrochloride
Acebutolol Viatris,Acebutolol Hydrochloride
Acebutolol Zentiva,Acebutolol Hydrochloride
Acebutolol Zydus,Acebutolol
Acecardin,Acetylsalicylic Acid
Aceclofenac Accord,Aceclofenac
Aceclofenac Accord Healthcare,Aceclofenac
Aceclofenac Alter,Aceclofenac
Aceclofenac Biogaran,Aceclofenac
Aceclofenac Double-E Pharma,Aceclofenac
Aceclofenac Eg,Aceclofenac
Aceclofenac Eg Labo,Aceclofenac
Aceclofenac Generis,Aceclofenac
Aceclofenac Holsten,Aceclofenac
Aceclofenac Mylan,Aceclofenac
Aceclofenac Orion,Aceclofenac
Aceclofenac Ratiopharm,Aceclofenac
Aceclofenac Rivopharm,Aceclofenac
Aceclofenac Rivopharm Uk,Aceclofenac
Aceclofenac Viatris,Aceclofenac
Aceclofenac Zentiva,Aceclofenac
Aceclofenaco Cinfa,Aceclofenac
Aceclofenaco Kern Pharma,Aceclofenac
Aceclofenaco Normon,Aceclofenac
Aceclofenaco Stada,Aceclofenac
Aceclofenaco Vir,Aceclofenac
Aceclonac,Aceclofenac
Acecor,Acebutolol
Acecor,Acebutolol Hydrochloride
Acecort,Hydrocortisone
Acefa,Cefoperazone
Aceflucil,Acetylcysteine
Aceite De Ricino Reig Jofre,Castor Oil
Aceklik,Aceclofenac
Acelopam,Citalopram Hydrochloride
Acelyn,Ethinylestradiol
Acemap,Penfluridol
Acemetacin Heumann,Acemetacin
Acemetacin Stada,Acemetacin
Acemetax,Acemetacin
Acemin,Lisinopril
Acemis,Acetylcysteine
Acemit,Acetazolamide
Acenam,Glucosamine Hydrochloride
Acenocoumarol Aurobindo,Acenocoumarol
Acenocoumarol Cf,Acenocoumarol
Acenocumarol Aurovitas,Acenocoumarol
Acenocumarol Generis,Acenocoumarol
Acenocumarol Wzf,Acenocoumarol
Aceomel,Captopril
Aceoto,Ciprofloxacin
Acepiro,Acetylcysteine
Aceponato De Metilprednisolona Aristo,Methylprednisolone Aceponate
Acepramin,Aminocaproic Acid
Aceprotin,Captopril
Acepurin,Allopurinol Sodium
Acesan,Acetylsalicylic Acid
Acesil,Acetylsalicylic Acid
Acesil T,Acetylsalicylic Acid
Acesil Tamponat,Acetylsalicylic Acid
Acetamol,Paracetamol
Acetamol Adulti,Paracetamol
Acetamol Bambini,Paracetamol
Acetamol Prima Infanzia,Paracetamol
Acetan,Lisinopril
Acetar,Piracetam
Acetat De Terlipresină Ever Pharma,Terlipressin
Acétate D'abiratérone. Eg (Eurogenerics) Sa,Abiraterone Acetate
Acetate De Cyproterone Arrow,Cyproterone Acetate
Acetate De Terlipressine Ever Pharma,Terlipressin
Acetato De Eslicarbazepina Alter,Eslicarbazepine Acetate
Acetato De Eslicarbazepina Aristo,Eslicarbazepine Acetate
Acetato De Eslicarbazepina Generis,Eslicarbazepine Acetate
Acetato De Eslicarbazepina Jubilant,Eslicarbazepine Acetate
Acetato De Eslicarbazepina Meditop 800 Mg Comprimidos,Eslicarbazepine
Acetato De Eslicarbazepina Mylan Pharma,Eslicarbazepine Acetate
Acetato De Eslicarbazepina Pentafarma,Eslicarbazepine Acetate
Acetato De Eslicarbazepina Pharmakern,Eslicarbazepine Acetate
Acetato De Glatirâmero Viatris,Glatiramer Acetate
Acetato De Potasio B.Braun,Potassium Acetate
Acetato Sódico Fresenius Kabi,Sodium Acetate
Acetazolamid Agepha,Acetazolamide
Acetazolamida Arena,Acetazolamide
Acetazolamide,Acetazolamide Bp
Acetazolamide Blumont Pharma,Acetazolamide
Acetazolamide Crescent,Acetazolamide
Acetazolamide Crescent Pharma,Acetazolamide
Acetazolamide Dawa,Acetazolamide Ph. Eur.
Acetazolamide Mercury Pharma,Acetazolamide
Acetazolamide Mercury Pharmaceuticals,Acetazolamide
Acetazolamide Mercury Pharmaceuticals,Acetazolamide Sodium
Acetazolamide Morningside Healthcare,Acetazolamide
Acetazolamide Remedica,Acetazolamide
Acetazolamide Tillomed,Acetazolamide
Acetazolamide Ι.Φ.Ε.Τ.,Acetazolamide
Acetensil,Enalapril Maleate
Aceterin,Cetirizine Dihydrochloride
Aceterin Express,Cetirizine Dihydrochloride
Acetilcisteína Abex,Acetylcysteine
Acetilcisteina Alter,Acetylcysteine
Acetilcisteină Arena,Acetylcysteine
Acetilcisteina Aristo,Acetylcysteine
Acetilcisteina Aurobindo Italia,Acetylcysteine
Acetilcisteína Aurovitas,Acetylcysteine
Acetilcisteina Azevedos,Acetylcysteine
Acetilcisteína Bexal,Acetylcysteine
Acetilcisteína Bluepharma,Acetylcysteine
Acetilcisteina Cinfa,Acetylcysteine
Acetilcisteina Coop,Acetylcysteine
Acetilcisteina Doc,Acetylcysteine
Acetilcisteina Doc Generici,Acetylcysteine
Acetilcisteina Eg,Acetylcysteine
Acetilcisteína Exxelir,Acetylcysteine
Acetilcisteína Farmasierra,Acetylcysteine
Acetilcisteína Farmoz,Acetylcysteine
Acetilcisteína Generis,Acetylcysteine
Acetilcisteína Genkern,Acetylcysteine
Acetilcisteina Hexal A/S,Acetylcysteine
Acetilcisteina Hexal Ag,Acetylcysteine
Acetilcisteína Kern Pharma,Acetylcysteine
Acetilcisteină Laropharm,Acetylcysteine
Acetilcisteína Mabo,Acetylcysteine
Acetilcisteína Normon,Acetylcysteine
Acetilcisteina Pensa,Acetylcysteine
Acetilcisteína Pharmakern,Acetylcysteine
Acetilcisteina Ratiopharm,Acetylcysteine
Acetilcisteina Rompharm,Acetylcysteine
Acetilcisteína Sandoz,Acetylcysteine
Acetilcisteina Sandoz Care,Acetylcysteine
Acetilcisteína Stada,Acetylcysteine
Acetilcisteina Tarbis,Acetylcysteine
Acetilcisteina Viatris,Acetylcysteine
Acetilcisteína Vitória,Acetylcysteine
Acetilcisteină Zentiva,Acetylcysteine
Acetilcisteina Zentiva Lab,Acetylcysteine
Acetilsalicilatna Kiselina Bausch Health,Acetylsalicylic Acid
Acetilsalicilatna Kiselina G.L. Pharma,Acetylsalicylic Acid
Acetilsalicilato De Lisina Labesfal,Lysine Aspirin
Acetilsalicilna Kislina Krka,Acetylsalicylic Acid
Acetilsalicilna Kislina Lek,Acetylsalicylic Acid
Acetilsalicilna Kislina Sandoz,Acetylsalicylic Acid
Acetilsalicilo Rūgštis Sanitas,Acetylsalicylic Acid
Acetilsalicilo Rūgštis Stirol,Acetylsalicylic Acid
Acetilsalicilskābe Stirol,Acetylsalicylic Acid
Acetolyt,Calcium-Sodium-Hydrogencitrate (6:6:3:7)
Acetylcysteïhe Sanias,Acetylcysteine
Acetylcystein,Acetylcysteine
Acetylcystein 1a Farma,Acetylcysteine
Acetylcystein Al,Acetylcysteine
Acetylcystein Alternova,Acetylcysteine
Acetylcystein Dr.Max,Acetylcysteine
Acetylcystein Hexal,Acetylcysteine
Acetylcystein Sad,Acetylcysteine
Acetylcystein Sandoz,Acetylcysteine
Acetylcystein Viatris,Acetylcysteine
Acetylcysteine Ab,Acetylcysteine
Acetylcysteïne Alpex,Acetylcysteine
Acetylcysteine Alpex Adultes,Acetylcysteine
Acetylcysteine Arrow,Acetylcysteine
Acetylcysteine Arrow Conseil,Acetylcysteine
Acetylcysteïne Auro,Acetylcysteine
Acetylcysteïne Aurobindo,Acetylcysteine
Acetylcysteïne Aurobindo Pharma,Acetylcysteine
Acetylcysteine Aurum Pharmaceuticals,Acetylcysteine
Acetylcysteine Biogaran Conseil,Acetylcysteine
Acetylcysteïne Birchwood,Acetylcysteine
Acetylcysteïne Bruis Teva,Acetylcysteine
Acetylcysteine Conseil Sans Sucre Zentiva,Acetylcysteine
Acetylcysteine Eg,Acetylcysteine
Acetylcysteine Ennogen Healthcare,Acetylcysteine
Acetylcysteine Ennogen Healthcare Limited,Acetylcysteine
Acetylcysteine Ennogen Ip,Acetylcysteine
Acetylcysteine Essential-Healthcare Ascot Laboratories (Ireland) Limited,Acetylcysteine
Acetylcysteine Ibsa,Acetylcysteine
Acetylcysteïne Leidapharm,Acetylcysteine
Acetylcysteine Linn,Acetylcysteine
Acetylcysteine Macure,Acetylcysteine
Acetylcysteïne Marel,Acetylcysteine
Acetylcysteine Ratiopharm,Acetylcysteine
Acetylcysteine Ridge Pharma,Acetylcysteine
Acetylcysteïne Rxt,Acetylcysteine
Acetylcysteïne Sam,Acetylcysteine
Acetylcysteine Sandoz,Acetylcysteine
Acetylcysteïne Sanias,Acetylcysteine
Acetylcysteine Sans Sucre Bgr Conseil,Acetylcysteine
Acetylcysteine Sans Sucre Eg Labo Conseil,Acetylcysteine
Acetylcysteine Sans Sucre Teva Conseil,Acetylcysteine
Acetylcysteine Siromed,Acetylcysteine
Acetylcysteine Teva,Acetylcysteine
Acetylcysteine Viatris Conseil,Acetylcysteine
Acetylcysteine Waymade,Acetylcysteine
Acetylcysteinum Flegamina,Acetylcysteine
Acetylleucine Biogaran,Acetylleucine
Acetylleucine Teva,Acetylleucine
Acetylleucine Viatris,Acetylleucine
Acetylleucine Zentiva,Acetylleucine
Acetylsalicylic Acid Aurobindo,Acetylsalicylic Acid
Acetylsalicylic Acid Bluefish,Acetylsalicylic Acid
Acetylsalicylic Acid Krka,Acetylsalicylic Acid
Acetylsalicylic Acid Marel,Acetylsalicylic Acid
Acetylsalicylic Acid Nvt,Acetylsalicylic Acid
Acetylsalicylic Acid Santa,Acetylsalicylic Acid
Acetylsalicylique Viatris,Acetylsalicylic Acid
Acetylsalicylsäure Adgc,Acetylsalicylic Acid
Acetylsalicylsäure G.L. Pharma,Acetylsalicylic Acid Ph. Eur.
Acetylsalicylsäure I.V. Panpharma,Acetylsalicylic Acid
Acetylsalicylsäure Panpharma,Lysine Aspirin
Acetylsalicylsäure Zentiva Pharma,Acetylsalicylic Acid
Acetylsalicyls�ure G.L. Pharma,Acetylsalicylic Acid
Acetylsalicylsyra Abece,Acetylsalicylic Acid
Acetylsalicylsyra Evolan,Acetylsalicylic Acid
Acetylsalicylsyra G.L. Pharma,Acetylsalicylic Acid
Acetylsalicylsyra Teva,Acetylsalicylic Acid
Acetylsalicylsyre G.L. Pharma,Acetylsalicylic Acid
Acetylsalicylsyre Teva,Acetylsalicylic Acid
Acetylsalicylzuur Cardio,Acetylsalicylic Acid
Acetylsalicylzuur Cardio Aurobindo,Acetylsalicylic Acid
Acetylsalicylzuur Neuro Ratiopharm,Acetylsalicylic Acid
Acetylsalicylzuur Neuro Teva,Acetylsalicylic Acid
Acetylsalicylzuur Panmedica,Lysine Aspirin
Acetylsalicylzuur Panpharma,Lysine Aspirin
Acetylsalicylzuur Panpharma Panpharma,Lysine Aspirin
Acetylsalicylzuur Ratiopharm,Acetylsalicylic Acid
Acetylsalicylzuur Teva,Acetylsalicylic Acid
Acetylsalisylsyre Actavis,Acetylsalicylic Acid
Acetylsalisylsyre Norfri,Acetylsalicylic Acid
Acevirex,Aciclovir
Acfol,Folic Acid
Acfol,Folic Acid Hydrate
Acibel,Acetylcysteine
Acic,Aciclovir
Acic Cold Sore,Aciclovir
Acic Creme Bei Lippenherpes,Aciclovir
Aciclin,Aciclovir
Aciclinlabiale,Aciclovir
Aciclo,Aciclovir
Aciclobene,Aciclovir
Aciclobeta,Aciclovir
Aciclodan,Aciclovir
Aciclosina,Aciclovir
Aciclostad,Aciclovir
Aciclostad Gegen Lippenherpes,Aciclovir
Aciclovax - Iv,Aciclovir Sodium
Aciclovir,Aciclovir
Aciclovir  Heumann,Aciclovir
Aciclovir +pharma,Aciclovir
Aciclovir 089pharm,Aciclovir
Aciclovir 1 A Pharma,Aciclovir
Aciclovir 1a Farma,Aciclovir
Aciclovir 1a Pharma,Aciclovir
Aciclovir Ab,Aciclovir
Aciclovir Abc,Aciclovir
Aciclovir Abz,Aciclovir
Aciclovir Accord,Aciclovir
Aciclovir Accord,Aciclovir Sodium
Aciclovir Accord Healthcare,Aciclovir
Aciclovir Accord-Uk,Aciclovir
Aciclovir Accord-Uk,Aciclovir Ph. Eur.
Aciclovir Accord-Uk Ltd,Aciclovir
Aciclovir Actavis,Aciclovir
Aciclovir Agepha,Aciclovir
Aciclovir Akut,Aciclovir
Aciclovir Al,Aciclovir
Aciclovir Alfasigma,Aciclovir
Aciclovir Almus,Aciclovir
Aciclovir Almus Pharma,Aciclovir
Aciclovir Altan,Aciclovir
Aciclovir Alter,Aciclovir
Aciclovir Alternova,Aciclovir
Aciclovir Alvogen,Aciclovir
Aciclovir Arena,Aciclovir
Aciclovir Aristo,Aciclovir
Aciclovir Arrow,Aciclovir
Aciclovir Arrow Conseil,Aciclovir
Aciclovir Arrow Generiques,Aciclovir
Aciclovir Aurobindo,Aciclovir
Aciclovir Aurobindo Italia,Aciclovir
Aciclovir Aurobindo Pharma,Aciclovir
Aciclovir Aurovitas,Aciclovir
