+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+----------------+
| substance                                                                                                                                                                                                                                   | count_allergic_patients | count_medicine |
| Nitrofurantoin Anhydrous                                                                                                                                                                                                                    |                       1 |              1 |
| Fondaparinux Sodium                                                                                                                                                                                                                         |                       1 |              5 |
| Pyrimethamine                                                                                                                                                                                                                               |                       1 |              3 |
| Difelikefalin                                                                                                                                                                                                                               |                       1 |              1 |
| Atomoxetine                                                                                                                                                                                                                                 |                       1 |             49 |
| Choline Theophyllinate                                                                                                                                                                                                                      |                       1 |              1 |
| Medronate Tetrasodium                                                                                                                                                                                                                       |                       1 |              2 |
| Alpelisib                                                                                                                                                                                                                                   |                       1 |              1 |
| L-Cystine                                                                                                                                                                                                                                   |                       1 |              3 |
| Mitapivat                                                                                                                                                                                                                                   |                       1 |              1 |
| Corylus Avellana L.                                                                                                                                                                                                                         |                       1 |             10 |
| Aciclovir Bp                                                                                                                                                                                                                                |                       1 |              1 |
| Raltegravir Potassium                                                                                                                                                                                                                       |                       1 |              1 |
| Colesevelam Hydrochloride                                                                                                                                                                                                                   |                       1 |              6 |
| Solriamfetol                                                                                                                                                                                                                                |                       1 |              1 |
| Memantine Hydrochloride                                                                                                                                                                                                                     |                       1 |            183 |
| Capivasertib                                                                                                                                                                                                                                |                       1 |              1 |
| Oxomemazine                                                                                                                                                                                                                                 |                       1 |             20 |
| Levomepromazine Maleate                                                                                                                                                                                                                     |                       1 |              9 |
| Vancomycin                                                                                                                                                                                                                                  |                       1 |             55 |
| Potassium                                                                                                                                                                                                                                   |                       1 |              1 |
| Quinine Sulfate Dihydrate                                                                                                                                                                                                                   |                       1 |              1 |
| Okoubaka Aubrevillei Dil. D2                                                                                                                                                                                                                |                       1 |              3 |
| Betamethasone Bp                                                                                                                                                                                                                            |                       1 |              1 |
| Phenazone                                                                                                                                                                                                                                   |                       1 |              3 |
| Eravacycline                                                                                                                                                                                                                                |                       1 |              1 |
| Formoterol Fumarate Dihydrate Ph.Eur.                                                                                                                                                                                                       |                       1 |              1 |
| Abaloparatide                                                                                                                                                                                                                               |                       1 |              1 |
| Cloxacillin                                                                                                                                                                                                                                 |                       1 |             20 |
| Sulconazole Nitrate                                                                                                                                                                                                                         |                       1 |              1 |
| Lecanemab                                                                                                                                                                                                                                   |                       1 |              1 |
| 5 Nebules                                                                                                                                                                                                                                   |                       1 |              1 |
| Cytarabine                                                                                                                                                                                                                                  |                       1 |             31 |
| Sambucus Nigra Ø                                                                                                                                                                                                                            |                       1 |              1 |
| Esomeprazole Sodium                                                                                                                                                                                                                         |                       1 |             15 |
| Oxeladin Citrate                                                                                                                                                                                                                            |                       1 |              1 |
| Pipecuronium Bromide                                                                                                                                                                                                                        |                       1 |              1 |
| Benfogamma                                                                                                                                                                                                                                  |                       1 |              0 |
| Ambrosia Artemisiifolia Pollen Extract                                                                                                                                                                                                      |                       1 |              2 |
| Arachis Hypogaea Extract                                                                                                                                                                                                                    |                       1 |              2 |
| Cerliponase Alfa                                                                                                                                                                                                                            |                       1 |              1 |
| Omeprazole Sodium                                                                                                                                                                                                                           |                       1 |             45 |
| Fosinopril                                                                                                                                                                                                                                  |                       1 |              1 |
| Cobicistat                                                                                                                                                                                                                                  |                       1 |              1 |
| Dried Pressed Juice Of Fresh Flowering Purple Coneflower Herb (Der: 38-56:1)                                                                                                                                                                |                       1 |              1 |
| Metadoxine                                                                                                                                                                                                                                  |                       1 |              1 |
| Morphine Sulfate Pentahydrate                                                                                                                                                                                                               |                       1 |             24 |
| Pidotimod                                                                                                                                                                                                                                   |                       1 |              4 |
| Betaine Anhydrous                                                                                                                                                                                                                           |                       1 |              2 |
| Hydroxyzine                                                                                                                                                                                                                                 |                       1 |              2 |
| Terebinthina Laricina                                                                                                                                                                                                                       |                       1 |              1 |
| Aripiprazole                                                                                                                                                                                                                                |                       1 |            211 |
| Glutathione                                                                                                                                                                                                                                 |                       1 |              1 |
| Prothipendyl Hydrochloride Monohydrate                                                                                                                                                                                                      |                       1 |              1 |
| Dextromethorphan Hydrobromide Ph. Eur.                                                                                                                                                                                                      |                       1 |              1 |
| Aluminium Formate                                                                                                                                                                                                                           |                       1 |              1 |
| Ammonium Thioglycolate                                                                                                                                                                                                                      |                       1 |              1 |
| Oxaprozin                                                                                                                                                                                                                                   |                       1 |              1 |
| Asparaginase                                                                                                                                                                                                                                |                       1 |              1 |
| Prednicarbate                                                                                                                                                                                                                               |                       1 |              9 |
| Formaldehyde                                                                                                                                                                                                                                |                       1 |              1 |
| Atomoxetine Hydrochloride                                                                                                                                                                                                                   |                       1 |             25 |
| Benzalkonium Chloride Solution 50%                                                                                                                                                                                                          |                       1 |              1 |
| Herba Euphrasiae                                                                                                                                                                                                                            |                       1 |              1 |
| Sodium Phytate Anhydrous                                                                                                                                                                                                                    |                       1 |              2 |
| Mesna                                                                                                                                                                                                                                       |                       1 |             10 |
| Obinutuzumab                                                                                                                                                                                                                                |                       1 |              1 |
| Prajmalium Bitartrate                                                                                                                                                                                                                       |                       1 |              1 |
