+-----------+-------------------+----------+---------------------------------------+---------------+-------------------+-------------+
| Year      | dep_name          | DRG_code | provider_name                         | Expected Cost | Additional Charge | Income      |
| 2025      | Cardiology        | All DRGs | All Providers                         |        577850 |          96622.61 |   674472.61 |
| 2025      | Emergency         | Α34Χ     | Εθνική Ασφαλιστική                    |          6380 |           4253.33 |    10633.33 |
| 2025      | Emergency         | Α34Χ     | All Providers                         |          6380 |           4253.33 |    10633.33 |
| 2025      | Emergency         | Α36Α     | Euroins                               |         24120 |              0.00 |    24120.00 |
| 2025      | Emergency         | Α36Α     | All Providers                         |         24120 |              0.00 |    24120.00 |
| 2025      | Emergency         | Δ13Μ     | Eurolife FFH                          |         28560 |              0.00 |    28560.00 |
| 2025      | Emergency         | Δ13Μ     | All Providers                         |         28560 |              0.00 |    28560.00 |
| 2025      | Emergency         | Δ29Μ     | Groupama Ασφαλιστική                  |         21710 |              0.00 |    21710.00 |
| 2025      | Emergency         | Δ29Μ     | All Providers                         |         21710 |              0.00 |    21710.00 |
| 2025      | Emergency         | Η02Χ     | Εθνική Ασφαλιστική                    |         20790 |          10395.00 |    31185.00 |
| 2025      | Emergency         | Η02Χ     | All Providers                         |         20790 |          10395.00 |    31185.00 |
| 2025      | Emergency         | Θ24Χ     | Prime Insurance                       |          6690 |           6690.00 |    13380.00 |
| 2025      | Emergency         | Θ24Χ     | All Providers                         |          6690 |           6690.00 |    13380.00 |
| 2025      | Emergency         | Κ32Χ     | Interamerican                         |         10890 |              0.00 |    10890.00 |
| 2025      | Emergency         | Κ32Χ     | All Providers                         |         10890 |              0.00 |    10890.00 |
| 2025      | Emergency         | Κ33Α     | Interamerican                         |         31320 |              0.00 |    31320.00 |
| 2025      | Emergency         | Κ33Α     | All Providers                         |         31320 |              0.00 |    31320.00 |
| 2025      | Emergency         | Λ24Α     | Prime Insurance                       |          2880 |           2880.00 |     5760.00 |
| 2025      | Emergency         | Λ24Α     | All Providers                         |          2880 |           2880.00 |     5760.00 |
| 2025      | Emergency         | Μ65Χ     | Anytime                               |         12220 |           2444.00 |    14664.00 |
| 2025      | Emergency         | Μ65Χ     | All Providers                         |         12220 |           2444.00 |    14664.00 |
| 2025      | Emergency         | Μ72Μ     | Ορίζων Ασφαλιστική                    |         16810 |              0.00 |    16810.00 |
| 2025      | Emergency         | Μ72Μ     | All Providers                         |         16810 |              0.00 |    16810.00 |
| 2025      | Emergency         | Μ75Μ     | Ergo Ασφαλιστική                      |         14550 |           7275.00 |    21825.00 |
| 2025      | Emergency         | Μ75Μ     | All Providers                         |         14550 |           7275.00 |    21825.00 |
| 2025      | Emergency         | Ν29Μ     | Eurolife FFH                          |         12300 |           8200.00 |    20500.00 |
| 2025      | Emergency         | Ν29Μ     | All Providers                         |         12300 |           8200.00 |    20500.00 |
| 2025      | Emergency         | Ν31Χ     | Ατλαντική Ένωση                       |          2800 |              0.00 |     2800.00 |
| 2025      | Emergency         | Ν31Χ     | All Providers                         |          2800 |              0.00 |     2800.00 |
| 2025      | Emergency         | Ν41Μ     | Euroins                               |         18370 |              0.00 |    18370.00 |
| 2025      | Emergency         | Ν41Μ     | All Providers                         |         18370 |              0.00 |    18370.00 |
| 2025      | Emergency         | Π45Μ     | Eurolife FFH                          |         13380 |              0.00 |    13380.00 |
| 2025      | Emergency         | Π45Μ     | All Providers                         |         13380 |              0.00 |    13380.00 |
| 2025      | Emergency         | Π45Χ     | Prime Insurance                       |          6230 |           8306.67 |    14536.67 |
| 2025      | Emergency         | Π45Χ     | All Providers                         |          6230 |           8306.67 |    14536.67 |
| 2025      | Emergency         | Ρ20Α     | Euroins                               |         60230 |              0.00 |    60230.00 |
| 2025      | Emergency         | Ρ20Α     | All Providers                         |         60230 |              0.00 |    60230.00 |
| 2025      | Emergency         | Τ26Μγ    | Μινέττα Ασφαλιστική                   |         16440 |           5978.18 |    22418.18 |
| 2025      | Emergency         | Τ26Μγ    | All Providers                         |         16440 |           5978.18 |    22418.18 |
| 2025      | Emergency         | Υ06Χ     | Eurolife FFH                          |          8080 |              0.00 |     8080.00 |
| 2025      | Emergency         | Υ06Χ     | All Providers                         |          8080 |              0.00 |     8080.00 |
| 2025      | Emergency         | Υ08Μ     | Εθνική Ασφαλιστική                    |         12710 |              0.00 |    12710.00 |
| 2025      | Emergency         | Υ08Μ     | All Providers                         |         12710 |              0.00 |    12710.00 |
| 2025      | Emergency         | Φ25Μ     | NN Hellas                             |         12560 |              0.00 |    12560.00 |
| 2025      | Emergency         | Φ25Μ     | All Providers                         |         12560 |              0.00 |    12560.00 |
| 2025      | Emergency         | Φ26Μ     | Ορίζων Ασφαλιστική                    |         24600 |          10933.33 |    35533.33 |
| 2025      | Emergency         | Φ26Μ     | All Providers                         |         24600 |          10933.33 |    35533.33 |
| 2025      | Emergency         | Χ46Α     | Anytime                               |         41710 |           4171.00 |    45881.00 |
| 2025      | Emergency         | Χ46Α     | All Providers                         |         41710 |           4171.00 |    45881.00 |
| 2025      | Emergency         | All DRGs | All Providers                         |        426330 |          71526.51 |   497856.51 |
| 2025      | Gastroenterology  | Α20Χ     | Anytime                               |         26380 |          10552.00 |    36932.00 |
| 2025      | Gastroenterology  | Α20Χ     | All Providers                         |         26380 |          10552.00 |    36932.00 |
| 2025      | Gastroenterology  | Γ06Μ     | Interamerican                         |         16490 |           8245.00 |    24735.00 |
| 2025      | Gastroenterology  | Γ06Μ     | All Providers                         |         16490 |           8245.00 |    24735.00 |
| 2025      | Gastroenterology  | Ε01Α     | Interamerican                         |        289070 |              0.00 |   289070.00 |
| 2025      | Gastroenterology  | Ε01Α     | All Providers                         |        289070 |              0.00 |   289070.00 |
| 2025      | Gastroenterology  | Κ03Χ     | Anytime                               |        117340 |              0.00 |   117340.00 |
| 2025      | Gastroenterology  | Κ03Χ     | All Providers                         |        117340 |              0.00 |   117340.00 |
| 2025      | Gastroenterology  | Κ08Χ     | Prime Insurance                       |         55610 |              0.00 |    55610.00 |
| 2025      | Gastroenterology  | Κ08Χ     | All Providers                         |         55610 |              0.00 |    55610.00 |
| 2025      | Gastroenterology  | Κ38Χ     | Generali Hellas                       |          6270 |          18810.00 |    25080.00 |
| 2025      | Gastroenterology  | Κ38Χ     | All Providers                         |          6270 |          18810.00 |    25080.00 |
| 2025      | Gastroenterology  | Λ23Α     | Interamerican                         |          2650 |          10600.00 |    13250.00 |
| 2025      | Gastroenterology  | Λ23Α     | All Providers                         |          2650 |          10600.00 |    13250.00 |
| 2025      | Gastroenterology  | Μ06Α     | Groupama Ασφαλιστική                  |        199800 |              0.00 |   199800.00 |
| 2025      | Gastroenterology  | Μ06Α     | All Providers                         |        199800 |              0.00 |   199800.00 |
| 2025      | Gastroenterology  | Μ71Μ     | AIG Hellas                            |         13230 |              0.00 |    13230.00 |
| 2025      | Gastroenterology  | Μ71Μ     | All Providers                         |         13230 |              0.00 |    13230.00 |
| 2025      | Gastroenterology  | Ν28Μ     | Ατλαντική Ένωση                       |         19070 |              0.00 |    19070.00 |
| 2025      | Gastroenterology  | Ν28Μ     | All Providers                         |         19070 |              0.00 |    19070.00 |
| 2025      | Gastroenterology  | Ν30Μα    | Generali Hellas                       |         34080 |              0.00 |    34080.00 |
| 2025      | Gastroenterology  | Ν30Μα    | All Providers                         |         34080 |              0.00 |    34080.00 |
| 2025      | Gastroenterology  | Π03Χα    | Ορίζων Ασφαλιστική                    |         28260 |          14130.00 |    42390.00 |
| 2025      | Gastroenterology  | Π03Χα    | All Providers                         |         28260 |          14130.00 |    42390.00 |
| 2025      | Gastroenterology  | Π12Μβ    | Ορίζων Ασφαλιστική                    |         19320 |           5520.00 |    24840.00 |
| 2025      | Gastroenterology  | Π12Μβ    | All Providers                         |         19320 |           5520.00 |    24840.00 |
| 2025      | Gastroenterology  | Σ01Χ     | Generali Hellas                       |         22360 |          11180.00 |    33540.00 |
| 2025      | Gastroenterology  | Σ01Χ     | All Providers                         |         22360 |          11180.00 |    33540.00 |
| 2025      | Gastroenterology  | Τ27Χ     | Μινέττα Ασφαλιστική                   |          4280 |              0.00 |     4280.00 |
| 2025      | Gastroenterology  | Τ27Χ     | All Providers                         |          4280 |              0.00 |     4280.00 |
| 2025      | Gastroenterology  | Χ41Α     | Prime Insurance                       |         30660 |              0.00 |    30660.00 |
| 2025      | Gastroenterology  | Χ41Α     | All Providers                         |         30660 |              0.00 |    30660.00 |
| 2025      | Gastroenterology  | Ω01Α     | Intersalonika                         |        240000 |         480000.00 |   720000.00 |
| 2025      | Gastroenterology  | Ω01Α     | All Providers                         |        240000 |         480000.00 |   720000.00 |
| 2025      | Gastroenterology  | All DRGs | All Providers                         |       1124870 |         559037.00 |  1683907.00 |
| 2025      | Gynecology        | Α32Α     | Anytime                               |          8460 |           6345.00 |    14805.00 |
| 2025      | Gynecology        | Α32Α     | All Providers                         |          8460 |           6345.00 |    14805.00 |
| 2025      | Gynecology        | Α33Μβ    | NN Hellas                             |         10430 |              0.00 |    10430.00 |
| 2025      | Gynecology        | Α33Μβ    | All Providers                         |         10430 |              0.00 |    10430.00 |
| 2025      | Gynecology        | Γ11Α     | Prime Insurance                       |          7290 |              0.00 |     7290.00 |
| 2025      | Gynecology        | Γ11Α     | All Providers                         |          7290 |              0.00 |     7290.00 |
| 2025      | Gynecology        | Ζ02Χ     | Generali Hellas                       |         29790 |              0.00 |    29790.00 |
| 2025      | Gynecology        | Ζ02Χ     | All Providers                         |         29790 |              0.00 |    29790.00 |
| 2025      | Gynecology        | Ζ03Α     | Allianz Hellas                        |         23120 |           9248.00 |    32368.00 |
| 2025      | Gynecology        | Ζ03Α     | All Providers                         |         23120 |           9248.00 |    32368.00 |
| 2025      | Gynecology        | Θ24Χ     | Personal Insurance                    |          6690 |              0.00 |     6690.00 |
| 2025      | Gynecology        | Θ24Χ     | All Providers                         |          6690 |              0.00 |     6690.00 |
| 2025      | Gynecology        | Κ12Μ     | Allianz Hellas                        |         54650 |              0.00 |    54650.00 |
| 2025      | Gynecology        | Κ12Μ     | All Providers                         |         54650 |              0.00 |    54650.00 |
| 2025      | Gynecology        | Κ21Χ     | Generali Hellas                       |         14940 |              0.00 |    14940.00 |
| 2025      | Gynecology        | Κ21Χ     | All Providers                         |         14940 |              0.00 |    14940.00 |
| 2025      | Gynecology        | Λ04Μ     | Eurolife FFH                          |         18070 |           3614.00 |    21684.00 |
| 2025      | Gynecology        | Λ04Μ     | All Providers                         |         18070 |           3614.00 |    21684.00 |
| 2025      | Gynecology        | Μ04Χ     | NN Hellas                             |         66110 |              0.00 |    66110.00 |
| 2025      | Gynecology        | Μ04Χ     | All Providers                         |         66110 |              0.00 |    66110.00 |
| 2025      | Gynecology        | Μ60Α     | Anytime                               |         17200 |           2457.14 |    19657.14 |
| 2025      | Gynecology        | Μ60Α     | All Providers                         |         17200 |           2457.14 |    19657.14 |
| 2025      | Gynecology        | Μ61Μ     | Intersalonika                         |         22100 |              0.00 |    22100.00 |
| 2025      | Gynecology        | Μ61Μ     | All Providers                         |         22100 |              0.00 |    22100.00 |
| 2025      | Gynecology        | Μ71Χ     | Anytime                               |          4050 |           4050.00 |     8100.00 |
| 2025      | Gynecology        | Μ71Χ     | All Providers                         |          4050 |           4050.00 |     8100.00 |
| 2025      | Gynecology        | Ν23Α     | Anytime                               |         21090 |              0.00 |    21090.00 |
| 2025      | Gynecology        | Ν23Α     | All Providers                         |         21090 |              0.00 |    21090.00 |
| 2025      | Gynecology        | Ν24Μ     | Interamerican                         |         23890 |              0.00 |    23890.00 |
| 2025      | Gynecology        | Ν24Μ     | All Providers                         |         23890 |              0.00 |    23890.00 |
| 2025      | Gynecology        | Τ24Α     | Personal Insurance                    |         58180 |              0.00 |    58180.00 |
| 2025      | Gynecology        | Τ24Α     | All Providers                         |         58180 |              0.00 |    58180.00 |
| 2025      | Gynecology        | Υ25Μ     | Groupama Ασφαλιστική                  |         11280 |           1880.00 |    13160.00 |
| 2025      | Gynecology        | Υ25Μ     | All Providers                         |         11280 |           1880.00 |    13160.00 |
| 2025      | Gynecology        | Φ62Χ     | AIG Hellas                            |          3740 |              0.00 |     3740.00 |
| 2025      | Gynecology        | Φ62Χ     | All Providers                         |          3740 |              0.00 |     3740.00 |
| 2025      | Gynecology        | All DRGs | All Providers                         |        401080 |          27594.14 |   428674.14 |
| 2025      | ICU               | Α01Μ     | Groupama Ασφαλιστική                  |         47010 |           3134.00 |    50144.00 |
| 2025      | ICU               | Α01Μ     | All Providers                         |         47010 |           3134.00 |    50144.00 |
| 2025      | ICU               | Α25Μ     | Generali Hellas                       |         17660 |              0.00 |    17660.00 |
| 2025      | ICU               | Α25Μ     | All Providers                         |         17660 |              0.00 |    17660.00 |
| 2025      | ICU               | Α30Χ     | Μινέττα Ασφαλιστική                   |          6070 |          12140.00 |    18210.00 |
| 2025      | ICU               | Α30Χ     | All Providers                         |          6070 |          12140.00 |    18210.00 |
| 2025      | ICU               | Δ09Α     | Ευρωπαϊκή Πίστη                       |          6880 |           3440.00 |    10320.00 |
| 2025      | ICU               | Δ09Α     | All Providers                         |          6880 |           3440.00 |    10320.00 |
| 2025      | ICU               | Δ13Μ     | Interamerican                         |         28560 |              0.00 |    28560.00 |
| 2025      | ICU               | Δ13Μ     | All Providers                         |         28560 |              0.00 |    28560.00 |
| 2025      | ICU               | Ε04Α     | Eurolife FFH                          |        300150 |              0.00 |   300150.00 |
| 2025      | ICU               | Ε04Α     | All Providers                         |        300150 |              0.00 |   300150.00 |
| 2025      | ICU               | Ε09Β     | Ευρωπαϊκή Πίστη                       |         96690 |              0.00 |    96690.00 |
| 2025      | ICU               | Ε09Β     | All Providers                         |         96690 |              0.00 |    96690.00 |
| 2025      | ICU               | Η06Χ     | Prime Insurance                       |         15560 |              0.00 |    15560.00 |
| 2025      | ICU               | Η06Χ     | All Providers                         |         15560 |              0.00 |    15560.00 |
| 2025      | ICU               | Κ15Μ     | Ατλαντική Ένωση                       |         27280 |              0.00 |    27280.00 |
| 2025      | ICU               | Κ15Μ     | All Providers                         |         27280 |              0.00 |    27280.00 |
| 2025      | ICU               | Κ20Α     | Ergo Ασφαλιστική                      |          7600 |          30400.00 |    38000.00 |
| 2025      | ICU               | Κ20Α     | All Providers                         |          7600 |          30400.00 |    38000.00 |
| 2025      | ICU               | Κ32Α     | Prime Insurance                       |         10430 |          10430.00 |    20860.00 |
| 2025      | ICU               | Κ32Α     | All Providers                         |         10430 |          10430.00 |    20860.00 |
| 2025      | ICU               | Κ33Χ     | Hellas Direct                         |          6690 |           4014.00 |    10704.00 |
| 2025      | ICU               | Κ33Χ     | All Providers                         |          6690 |           4014.00 |    10704.00 |
| 2025      | ICU               | Κ37Χ     | Intersalonika                         |          4590 |              0.00 |     4590.00 |
| 2025      | ICU               | Κ37Χ     | All Providers                         |          4590 |              0.00 |     4590.00 |
| 2025      | ICU               | Μ07Α     | Ευρωπαϊκή Πίστη                       |         52350 |           7478.57 |    59828.57 |
| 2025      | ICU               | Μ07Α     | All Providers                         |         52350 |           7478.57 |    59828.57 |
| 2025      | ICU               | Μ16Α     | Hellas Direct                         |         15880 |          23820.00 |    39700.00 |
| 2025      | ICU               | Μ16Α     | All Providers                         |         15880 |          23820.00 |    39700.00 |
| 2025      | ICU               | Μ19Χ     | Groupama Ασφαλιστική                  |         19040 |           9520.00 |    28560.00 |
| 2025      | ICU               | Μ19Χ     | All Providers                         |         19040 |           9520.00 |    28560.00 |
| 2025      | ICU               | Μ20Α     | Ergo Ασφαλιστική                      |         12860 |          25720.00 |    38580.00 |
| 2025      | ICU               | Μ20Α     | All Providers                         |         12860 |          25720.00 |    38580.00 |
| 2025      | ICU               | Μ63Μ     | NN Hellas                             |         11980 |           3422.86 |    15402.86 |
| 2025      | ICU               | Μ63Μ     | All Providers                         |         11980 |           3422.86 |    15402.86 |
| 2025      | ICU               | Ν27Μβ    | AIG Hellas                            |         13070 |              0.00 |    13070.00 |
| 2025      | ICU               | Ν27Μβ    | Interamerican                         |         13070 |              0.00 |    13070.00 |
| 2025      | ICU               | Ν27Μβ    | All Providers                         |         26140 |              0.00 |    26140.00 |
| 2025      | ICU               | Ν30Α     | Εθνική Ασφαλιστική                    |          4200 |           4200.00 |     8400.00 |
| 2025      | ICU               | Ν30Α     | All Providers                         |          4200 |           4200.00 |     8400.00 |
| 2025      | ICU               | Ν34Χ     | Ergo Ασφαλιστική                      |         10120 |              0.00 |    10120.00 |
| 2025      | ICU               | Ν34Χ     | All Providers                         |         10120 |              0.00 |    10120.00 |
| 2025      | ICU               | Π10Χ     | Ορίζων Ασφαλιστική                    |          8680 |              0.00 |     8680.00 |
| 2025      | ICU               | Π10Χ     | All Providers                         |          8680 |              0.00 |     8680.00 |
| 2025      | ICU               | Π27Α     | Eurolife FFH                          |          2650 |           2650.00 |     5300.00 |
| 2025      | ICU               | Π27Α     | All Providers                         |          2650 |           2650.00 |     5300.00 |
| 2025      | ICU               | Σ01Μ     | Allianz Hellas                        |         85580 |              0.00 |    85580.00 |
| 2025      | ICU               | Σ01Μ     | All Providers                         |         85580 |              0.00 |    85580.00 |
| 2025      | ICU               | Σ21Χ     | Euroins                               |         18860 |              0.00 |    18860.00 |
| 2025      | ICU               | Σ21Χ     | All Providers                         |         18860 |              0.00 |    18860.00 |
| 2025      | ICU               | Τ27Μα    | Ορίζων Ασφαλιστική                    |         30760 |              0.00 |    30760.00 |
| 2025      | ICU               | Τ27Μα    | All Providers                         |         30760 |              0.00 |    30760.00 |
| 2025      | ICU               | Υ04Χβ    | Allianz Hellas                        |         16050 |              0.00 |    16050.00 |
| 2025      | ICU               | Υ04Χβ    | All Providers                         |         16050 |              0.00 |    16050.00 |
| 2025      | ICU               | Χ42Μ     | Allianz Hellas                        |         32680 |              0.00 |    32680.00 |
| 2025      | ICU               | Χ42Μ     | All Providers                         |         32680 |              0.00 |    32680.00 |
| 2025      | ICU               | Ω14Α     | Hellas Direct                         |          7400 |          11100.00 |    18500.00 |
| 2025      | ICU               | Ω14Α     | All Providers                         |          7400 |          11100.00 |    18500.00 |
| 2025      | ICU               | All DRGs | All Providers                         |        930400 |         151469.43 |  1081869.43 |
| 2025      | Internal Medicine | Α29Χ     | Ergo Ασφαλιστική                      |          3970 |           5955.00 |     9925.00 |
| 2025      | Internal Medicine | Α29Χ     | All Providers                         |          3970 |           5955.00 |     9925.00 |
| 2025      | Internal Medicine | Α32Α     | Personal Insurance                    |          8460 |              0.00 |     8460.00 |
| 2025      | Internal Medicine | Α32Α     | All Providers                         |          8460 |              0.00 |     8460.00 |
| 2025      | Internal Medicine | Α33Μα    | Ergo Ασφαλιστική                      |         20230 |              0.00 |    20230.00 |
| 2025      | Internal Medicine | Α33Μα    | All Providers                         |         20230 |              0.00 |    20230.00 |
| 2025      | Internal Medicine | Δ07Α     | Prime Insurance                       |          6050 |          24200.00 |    30250.00 |
| 2025      | Internal Medicine | Δ07Α     | All Providers                         |          6050 |          24200.00 |    30250.00 |
| 2025      | Internal Medicine | Δ22Χ     | Personal Insurance                    |          6880 |           6880.00 |    13760.00 |
| 2025      | Internal Medicine | Δ22Χ     | All Providers                         |          6880 |           6880.00 |    13760.00 |
| 2025      | Internal Medicine | Κ40Χ     | Ορίζων Ασφαλιστική                    |          7940 |           5293.33 |    13233.33 |
| 2025      | Internal Medicine | Κ40Χ     | All Providers                         |          7940 |           5293.33 |    13233.33 |
| 2025      | Internal Medicine | Κ47Α     | Prime Insurance                       |         24230 |           8076.67 |    32306.67 |
| 2025      | Internal Medicine | Κ47Α     | All Providers                         |         24230 |           8076.67 |    32306.67 |
| 2025      | Internal Medicine | Λ03Χ     | Euroins                               |          8860 |              0.00 |     8860.00 |
| 2025      | Internal Medicine | Λ03Χ     | All Providers                         |          8860 |              0.00 |     8860.00 |
| 2025      | Internal Medicine | Μ04Μ     | Generali Hellas                       |         70420 |           7824.44 |    78244.44 |
| 2025      | Internal Medicine | Μ04Μ     | All Providers                         |         70420 |           7824.44 |    78244.44 |
| 2025      | Internal Medicine | Μ21Α     | Ατλαντική Ένωση                       |         10520 |          10520.00 |    21040.00 |
| 2025      | Internal Medicine | Μ21Α     | All Providers                         |         10520 |          10520.00 |    21040.00 |
| 2025      | Internal Medicine | Μ63Μ     | Ατλαντική Ένωση                       |         11980 |              0.00 |    11980.00 |
| 2025      | Internal Medicine | Μ63Μ     | All Providers                         |         11980 |              0.00 |    11980.00 |
| 2025      | Internal Medicine | Μ67Μ     | Generali Hellas                       |         24280 |           4046.67 |    28326.67 |
| 2025      | Internal Medicine | Μ67Μ     | All Providers                         |         24280 |           4046.67 |    28326.67 |
| 2025      | Internal Medicine | Μ77Μ     | Prime Insurance                       |         22570 |           3472.31 |    26042.31 |
| 2025      | Internal Medicine | Μ77Μ     | All Providers                         |         22570 |           3472.31 |    26042.31 |
| 2025      | Internal Medicine | Ν01Μ     | Prime Insurance                       |         25280 |          14445.71 |    39725.71 |
| 2025      | Internal Medicine | Ν01Μ     | All Providers                         |         25280 |          14445.71 |    39725.71 |
| 2025      | Internal Medicine | Ν30Χ     | Eurolife FFH                          |         11910 |              0.00 |    11910.00 |
| 2025      | Internal Medicine | Ν30Χ     | All Providers                         |         11910 |              0.00 |    11910.00 |
| 2025      | Internal Medicine | Ο02Α     | Ευρωπαϊκή Πίστη                       |         16110 |              0.00 |    16110.00 |
| 2025      | Internal Medicine | Ο02Α     | All Providers                         |         16110 |              0.00 |    16110.00 |
| 2025      | Internal Medicine | Ο17Α     | Μινέττα Ασφαλιστική                   |         24230 |              0.00 |    24230.00 |
| 2025      | Internal Medicine | Ο17Α     | All Providers                         |         24230 |              0.00 |    24230.00 |
| 2025      | Internal Medicine | Π11Α     | AIG Hellas                            |          5660 |           8490.00 |    14150.00 |
| 2025      | Internal Medicine | Π11Α     | All Providers                         |          5660 |           8490.00 |    14150.00 |
| 2025      | Internal Medicine | Ρ10Μα    | Ορίζων Ασφαλιστική                    |         71180 |              0.00 |    71180.00 |
| 2025      | Internal Medicine | Ρ10Μα    | All Providers                         |         71180 |              0.00 |    71180.00 |
| 2025      | Internal Medicine | Σ20Μ     | AIG Hellas                            |         74350 |              0.00 |    74350.00 |
| 2025      | Internal Medicine | Σ20Μ     | All Providers                         |         74350 |              0.00 |    74350.00 |
| 2025      | Internal Medicine | Τ03Α     | Generali Hellas                       |        168460 |              0.00 |   168460.00 |
| 2025      | Internal Medicine | Τ03Α     | All Providers                         |        168460 |              0.00 |   168460.00 |
| 2025      | Internal Medicine | Τ25Μα    | Allianz Hellas                        |         58720 |              0.00 |    58720.00 |
| 2025      | Internal Medicine | Τ25Μα    | All Providers                         |         58720 |              0.00 |    58720.00 |
| 2025      | Internal Medicine | Υ20Α     | Groupama Ασφαλιστική                  |          7670 |          11505.00 |    19175.00 |
| 2025      | Internal Medicine | Υ20Α     | All Providers                         |          7670 |          11505.00 |    19175.00 |
| 2025      | Internal Medicine | Φ25Μ     | Anytime                               |         12560 |           9420.00 |    21980.00 |
| 2025      | Internal Medicine | Φ25Μ     | All Providers                         |         12560 |           9420.00 |    21980.00 |
| 2025      | Internal Medicine | Φ62Χ     | Hellas Direct                         |          3740 |           3740.00 |     7480.00 |
| 2025      | Internal Medicine | Φ62Χ     | All Providers                         |          3740 |           3740.00 |     7480.00 |
| 2025      | Internal Medicine | All DRGs | All Providers                         |        706260 |         123869.13 |   830129.13 |
