+---------+--------------+-----------+----------------------------+---------+-------------------+-----------+
| urgency | distribution | mean_wait | hospitalization_percentage | urgency | dep_name          | dep_distr |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Cardiology        |         8 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Emergency         |         5 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Gastroenterology  |         5 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Gynecology        |         6 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | ICU               |        14 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Internal Medicine |        10 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Microbiology      |         5 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Neurology         |         3 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Ophthalmology     |         7 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Orthopedics       |         4 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Pediatrics        |         3 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Pulmonology       |        13 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Radiology         |         8 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Surgery           |         3 |
|       4 |          122 |   35.5631 |                    84.4262 |       4 | Urology           |         8 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Cardiology        |         6 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Emergency         |         7 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Gastroenterology  |         4 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Gynecology        |         8 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | ICU               |         7 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Internal Medicine |         8 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Microbiology      |         9 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Neurology         |         7 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Ophthalmology     |         8 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Orthopedics       |         5 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Pediatrics        |         5 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Pulmonology       |        12 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Radiology         |         4 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Surgery           |         5 |
|       5 |          122 |   45.6095 |                    86.0656 |       5 | Urology           |         8 |
+---------+--------------+-----------+----------------------------+---------+-------------------+-----------+
75 rows in set (0.013 sec)
