+-------------------+------------+------------+---------------+----------------------------------------+----------------------+
| dep_name          | date       | shift_type | staff_type    | subclass_detail                        | required_staff_count |
| Cardiology        | 2026-01-05 | night      | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Cardiology        | 2026-01-05 | night      | nurse         | assistant nurse                        |                    2 |
| Cardiology        | 2026-01-05 | night      | nurse         | nurse                                  |                    2 |
| Cardiology        | 2026-01-05 | night      | nurse         | supervisor                             |                    2 |
| Cardiology        | 2026-01-05 | noon       | administrator | Έλεγχος ταμείου                        |                    1 |
| Cardiology        | 2026-01-05 | noon       | administrator | Παραγγελίες                            |                    1 |
| Cardiology        | 2026-01-05 | noon       | doctor        | Ακτινολογία                            |                    1 |
| Cardiology        | 2026-01-05 | noon       | doctor        | Παθολογία                              |                    1 |
| Cardiology        | 2026-01-05 | noon       | doctor        | Πνευμονολογία                          |                    1 |
| Cardiology        | 2026-01-05 | noon       | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-05 | noon       | nurse         | supervisor                             |                    3 |
| Cardiology        | 2026-01-06 | morning    | administrator | Έλεγχος ΑΜΚΑ                           |                    1 |
| Cardiology        | 2026-01-06 | morning    | administrator | Έλεγχος εγγράφων                       |                    1 |
| Cardiology        | 2026-01-06 | morning    | doctor        | Γενική Ιατρική                         |                    1 |
| Cardiology        | 2026-01-06 | morning    | doctor        | Γυναικολογία                           |                    1 |
| Cardiology        | 2026-01-06 | morning    | doctor        | Οφθαλμολογία                           |                    1 |
| Cardiology        | 2026-01-06 | morning    | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-06 | morning    | nurse         | nurse                                  |                    1 |
| Cardiology        | 2026-01-06 | morning    | nurse         | supervisor                             |                    2 |
| Cardiology        | 2026-01-06 | night      | administrator | Έλεγχος ΑΜΚΑ                           |                    1 |
| Cardiology        | 2026-01-06 | night      | administrator | Έλεγχος ταμείου                        |                    1 |
| Cardiology        | 2026-01-06 | night      | doctor        | Αιματολογία                            |                    1 |
| Cardiology        | 2026-01-06 | night      | doctor        | Καρδιολογία                            |                    1 |
| Cardiology        | 2026-01-06 | night      | doctor        | Παιδιατρική                            |                    1 |
| Cardiology        | 2026-01-06 | night      | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-06 | night      | nurse         | nurse                                  |                    2 |
| Cardiology        | 2026-01-06 | night      | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-06 | noon       | administrator | Έλεγχος μισθών                         |                    1 |
| Cardiology        | 2026-01-06 | noon       | administrator | Υποδοχή κοινού                         |                    1 |
| Cardiology        | 2026-01-06 | noon       | doctor        | Νευρολογία                             |                    1 |
| Cardiology        | 2026-01-06 | noon       | doctor        | Παθολογία                              |                    1 |
| Cardiology        | 2026-01-06 | noon       | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-06 | noon       | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-06 | noon       | nurse         | nurse                                  |                    2 |
| Cardiology        | 2026-01-06 | noon       | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-07 | morning    | administrator | Έλεγχος εισαγωγών                      |                    1 |
| Cardiology        | 2026-01-07 | morning    | administrator | Επικοινωνία ΕΟΠΥΥ                      |                    1 |
| Cardiology        | 2026-01-07 | morning    | doctor        | Γαστρεντερολογία                       |                    1 |
| Cardiology        | 2026-01-07 | morning    | doctor        | Παθολογία                              |                    1 |
| Cardiology        | 2026-01-07 | morning    | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Cardiology        | 2026-01-07 | morning    | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-07 | morning    | nurse         | nurse                                  |                    1 |
| Cardiology        | 2026-01-07 | morning    | nurse         | supervisor                             |                    2 |
| Cardiology        | 2026-01-07 | night      | administrator | Έλεγχος ΑΜΚΑ                           |                    2 |
| Cardiology        | 2026-01-07 | night      | doctor        | Παθολογία                              |                    1 |
| Cardiology        | 2026-01-07 | night      | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-07 | night      | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Cardiology        | 2026-01-07 | night      | nurse         | assistant nurse                        |                    2 |
| Cardiology        | 2026-01-07 | night      | nurse         | supervisor                             |                    4 |
| Cardiology        | 2026-01-07 | noon       | administrator | Κλείσιμο ραντεβού                      |                    1 |
| Cardiology        | 2026-01-07 | noon       | administrator | Υποδοχή κοινού                         |                    1 |
| Cardiology        | 2026-01-07 | noon       | doctor        | Ακτινολογία                            |                    1 |
| Cardiology        | 2026-01-07 | noon       | doctor        | Νευρολογία                             |                    1 |
| Cardiology        | 2026-01-07 | noon       | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-07 | noon       | nurse         | assistant nurse                        |                    4 |
| Cardiology        | 2026-01-07 | noon       | nurse         | nurse                                  |                    1 |
| Cardiology        | 2026-01-07 | noon       | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-08 | morning    | administrator | Παραγγελίες                            |                    1 |
| Cardiology        | 2026-01-08 | morning    | administrator | Τήρηση αρχείου                         |                    1 |
| Cardiology        | 2026-01-08 | morning    | doctor        | Γυναικολογία                           |                    1 |
| Cardiology        | 2026-01-08 | morning    | doctor        | Ορθοπεδική                             |                    1 |
| Cardiology        | 2026-01-08 | morning    | doctor        | Οφθαλμολογία                           |                    1 |
| Cardiology        | 2026-01-08 | morning    | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-08 | morning    | nurse         | nurse                                  |                    2 |
| Cardiology        | 2026-01-08 | morning    | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-08 | night      | administrator | Έκδοση τιμολογίων                      |                    1 |
| Cardiology        | 2026-01-08 | night      | administrator | Τήρηση αρχείου                         |                    1 |
| Cardiology        | 2026-01-08 | night      | doctor        | Καρδιολογία                            |                    1 |
| Cardiology        | 2026-01-08 | night      | doctor        | Νευρολογία                             |                    1 |
| Cardiology        | 2026-01-08 | night      | doctor        | Παιδιατρική                            |                    1 |
| Cardiology        | 2026-01-08 | night      | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-08 | night      | nurse         | nurse                                  |                    1 |
| Cardiology        | 2026-01-08 | night      | nurse         | supervisor                             |                    2 |
| Cardiology        | 2026-01-08 | noon       | administrator | Κλείσιμο ραντεβού                      |                    1 |
| Cardiology        | 2026-01-08 | noon       | administrator | Οργάνωση γραφείου                      |                    1 |
| Cardiology        | 2026-01-08 | noon       | doctor        | Γενική Ιατρική                         |                    1 |
| Cardiology        | 2026-01-08 | noon       | doctor        | Παθολογία                              |                    1 |
| Cardiology        | 2026-01-08 | noon       | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-08 | noon       | nurse         | assistant nurse                        |                    2 |
| Cardiology        | 2026-01-08 | noon       | nurse         | nurse                                  |                    3 |
| Cardiology        | 2026-01-08 | noon       | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-01 | morning    | administrator | Έκδοση εξιτηρίων                       |                    1 |
| Emergency         | 2026-01-01 | morning    | administrator | Παραγγελίες                            |                    1 |
| Emergency         | 2026-01-01 | morning    | doctor        | Ουρολογία                              |                    1 |
| Emergency         | 2026-01-01 | morning    | doctor        | Χειρουργική                            |                    1 |
| Emergency         | 2026-01-01 | morning    | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Emergency         | 2026-01-01 | morning    | nurse         | assistant nurse                        |                    4 |
| Emergency         | 2026-01-01 | morning    | nurse         | nurse                                  |                    2 |
| Emergency         | 2026-01-01 | night      | administrator | Κλείσιμο ραντεβού                      |                    1 |
| Emergency         | 2026-01-01 | night      | administrator | Υποδοχή κοινού                         |                    1 |
| Emergency         | 2026-01-01 | night      | doctor        | Ουρολογία                              |                    2 |
| Emergency         | 2026-01-01 | night      | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-01 | night      | nurse         | assistant nurse                        |                    1 |
| Emergency         | 2026-01-01 | night      | nurse         | nurse                                  |                    4 |
| Emergency         | 2026-01-01 | night      | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-01 | noon       | administrator | Διαχείριση κλήσεων                     |                    2 |
| Emergency         | 2026-01-01 | noon       | doctor        | Γαστρεντερολογία                       |                    1 |
| Emergency         | 2026-01-01 | noon       | doctor        | Γυναικολογία                           |                    1 |
| Emergency         | 2026-01-01 | noon       | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Emergency         | 2026-01-01 | noon       | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-01 | noon       | nurse         | nurse                                  |                    2 |
| Emergency         | 2026-01-01 | noon       | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-02 | morning    | administrator | Αρχειοθέτηση                           |                    1 |
| Emergency         | 2026-01-02 | morning    | administrator | Κλείσιμο ραντεβού                      |                    1 |
| Emergency         | 2026-01-02 | morning    | doctor        | Καρδιολογία                            |                    1 |
| Emergency         | 2026-01-02 | morning    | doctor        | Νεφρολογία                             |                    1 |
| Emergency         | 2026-01-02 | morning    | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-02 | morning    | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-02 | morning    | nurse         | nurse                                  |                    3 |
| Emergency         | 2026-01-02 | night      | administrator | Αρχειοθέτηση                           |                    1 |
| Emergency         | 2026-01-02 | night      | administrator | Διαχείριση κλήσεων                     |                    1 |
| Emergency         | 2026-01-02 | night      | doctor        | Γενική Ιατρική                         |                    1 |
| Emergency         | 2026-01-02 | night      | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-02 | night      | doctor        | Χειρουργική                            |                    1 |
| Emergency         | 2026-01-02 | night      | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-02 | night      | nurse         | nurse                                  |                    3 |
| Emergency         | 2026-01-02 | noon       | administrator | Αρχειοθέτηση                           |                    1 |
| Emergency         | 2026-01-02 | noon       | administrator | Έλεγχος εγγράφων                       |                    1 |
| Emergency         | 2026-01-02 | noon       | doctor        | Γαστρεντερολογία                       |                    1 |
| Emergency         | 2026-01-02 | noon       | doctor        | Ουρολογία                              |                    1 |
| Emergency         | 2026-01-02 | noon       | doctor        | Οφθαλμολογία                           |                    1 |
| Emergency         | 2026-01-02 | noon       | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-02 | noon       | nurse         | nurse                                  |                    2 |
| Emergency         | 2026-01-02 | noon       | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-03 | morning    | administrator | Διαχείριση υλικών                      |                    1 |
| Emergency         | 2026-01-03 | morning    | administrator | Έκδοση τιμολογίων                      |                    1 |
| Emergency         | 2026-01-03 | morning    | doctor        | Γυναικολογία                           |                    2 |
| Emergency         | 2026-01-03 | morning    | doctor        | Νεφρολογία                             |                    1 |
| Emergency         | 2026-01-03 | morning    | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-03 | morning    | nurse         | nurse                                  |                    3 |
| Emergency         | 2026-01-03 | night      | administrator | Έλεγχος εισαγωγών                      |                    1 |
| Emergency         | 2026-01-03 | night      | administrator | Έλεγχος μισθών                         |                    1 |
| Emergency         | 2026-01-03 | night      | doctor        | Ουρολογία                              |                    1 |
| Emergency         | 2026-01-03 | night      | doctor        | Ωτορινολαρυγγολογία                    |                    2 |
| Emergency         | 2026-01-03 | night      | nurse         | assistant nurse                        |                    2 |
| Emergency         | 2026-01-03 | night      | nurse         | nurse                                  |                    3 |
| Emergency         | 2026-01-03 | night      | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-03 | noon       | administrator | Επικοινωνία ΕΟΠΥΥ                      |                    1 |
| Emergency         | 2026-01-03 | noon       | administrator | Οργάνωση γραφείου                      |                    1 |
| Emergency         | 2026-01-03 | noon       | doctor        | Γαστρεντερολογία                       |                    1 |
| Emergency         | 2026-01-03 | noon       | doctor        | Νευρολογία                             |                    1 |
| Emergency         | 2026-01-03 | noon       | doctor        | Νεφρολογία                             |                    1 |
| Emergency         | 2026-01-03 | noon       | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-03 | noon       | nurse         | nurse                                  |                    2 |
| Emergency         | 2026-01-03 | noon       | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-04 | morning    | administrator | Έκδοση εξιτηρίων                       |                    1 |
| Emergency         | 2026-01-04 | morning    | administrator | Έλεγχος ταμείου                        |                    1 |
| Emergency         | 2026-01-04 | morning    | doctor        | Ουρολογία                              |                    1 |
| Emergency         | 2026-01-04 | morning    | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-04 | morning    | doctor        | Ψυχιατρική                             |                    1 |
| Emergency         | 2026-01-04 | morning    | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-04 | morning    | nurse         | nurse                                  |                    3 |
| Emergency         | 2026-01-04 | night      | administrator | Διαχείριση κλήσεων                     |                    1 |
| Emergency         | 2026-01-04 | night      | administrator | Υποδοχή κοινού                         |                    1 |
| Emergency         | 2026-01-04 | night      | doctor        | Γενική Ιατρική                         |                    1 |
| Emergency         | 2026-01-04 | night      | doctor        | Ουρολογία                              |                    1 |
| Emergency         | 2026-01-04 | night      | doctor        | Οφθαλμολογία                           |                    1 |
| Emergency         | 2026-01-04 | night      | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-04 | night      | nurse         | nurse                                  |                    3 |
| Emergency         | 2026-01-04 | noon       | administrator | Διαχείριση κλήσεων                     |                    1 |
| Emergency         | 2026-01-04 | noon       | administrator | Παραγγελίες                            |                    1 |
| Emergency         | 2026-01-04 | noon       | doctor        | Γαστρεντερολογία                       |                    1 |
| Emergency         | 2026-01-04 | noon       | doctor        | Νεφρολογία                             |                    1 |
| Emergency         | 2026-01-04 | noon       | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-04 | noon       | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-04 | noon       | nurse         | nurse                                  |                    2 |
| Emergency         | 2026-01-04 | noon       | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-05 | morning    | administrator | Αρχειοθέτηση                           |                    1 |
| Emergency         | 2026-01-05 | morning    | administrator | Κλείσιμο ραντεβού                      |                    1 |
| Emergency         | 2026-01-05 | morning    | doctor        | Γυναικολογία                           |                    1 |
| Emergency         | 2026-01-05 | morning    | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-05 | morning    | doctor        | Χειρουργική                            |                    1 |
| Emergency         | 2026-01-05 | morning    | nurse         | assistant nurse                        |                    2 |
| Emergency         | 2026-01-05 | morning    | nurse         | nurse                                  |                    3 |
| Emergency         | 2026-01-05 | morning    | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-05 | night      | administrator | Αρχειοθέτηση                           |                    2 |
| Emergency         | 2026-01-05 | night      | doctor        | Γαστρεντερολογία                       |                    1 |
| Emergency         | 2026-01-05 | night      | doctor        | Νεφρολογία                             |                    1 |
| Emergency         | 2026-01-05 | night      | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Emergency         | 2026-01-05 | night      | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-05 | night      | nurse         | nurse                                  |                    2 |
| Emergency         | 2026-01-05 | night      | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-05 | noon       | administrator | Έλεγχος εγγράφων                       |                    1 |
| Emergency         | 2026-01-05 | noon       | administrator | Κλείσιμο ραντεβού                      |                    1 |
| Emergency         | 2026-01-05 | noon       | doctor        | Νευρολογία                             |                    1 |
| Emergency         | 2026-01-05 | noon       | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-05 | noon       | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Emergency         | 2026-01-05 | noon       | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-05 | noon       | nurse         | nurse                                  |                    3 |
| Emergency         | 2026-01-06 | morning    | administrator | Διαχείριση κλήσεων                     |                    1 |
| Emergency         | 2026-01-06 | morning    | administrator | Έκδοση τιμολογίων                      |                    1 |
| Emergency         | 2026-01-06 | morning    | doctor        | Ουρολογία                              |                    1 |
| Emergency         | 2026-01-06 | morning    | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-06 | morning    | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Emergency         | 2026-01-06 | morning    | nurse         | assistant nurse                        |                    2 |
| Emergency         | 2026-01-06 | morning    | nurse         | nurse                                  |                    4 |
| Emergency         | 2026-01-06 | night      | administrator | Έλεγχος εισαγωγών                      |                    1 |
| Emergency         | 2026-01-06 | night      | administrator | Επικοινωνία ΕΟΠΥΥ                      |                    1 |
| Emergency         | 2026-01-06 | night      | doctor        | Γαστρεντερολογία                       |                    1 |
| Emergency         | 2026-01-06 | night      | doctor        | Οφθαλμολογία                           |                    1 |
| Emergency         | 2026-01-06 | night      | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-06 | night      | nurse         | assistant nurse                        |                    4 |
| Emergency         | 2026-01-06 | night      | nurse         | nurse                                  |                    2 |
| Emergency         | 2026-01-06 | noon       | administrator | Διαχείριση υλικών                      |                    1 |
| Emergency         | 2026-01-06 | noon       | administrator | Οργάνωση γραφείου                      |                    1 |
| Emergency         | 2026-01-06 | noon       | doctor        | Καρδιολογία                            |                    1 |
| Emergency         | 2026-01-06 | noon       | doctor        | Νεφρολογία                             |                    1 |
| Emergency         | 2026-01-06 | noon       | doctor        | Ουρολογία                              |                    1 |
| Emergency         | 2026-01-06 | noon       | nurse         | assistant nurse                        |                    3 |
| Emergency         | 2026-01-06 | noon       | nurse         | nurse                                  |                    2 |
| Emergency         | 2026-01-06 | noon       | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-07 | morning    | administrator | Έλεγχος μισθών                         |                    1 |
| Emergency         | 2026-01-07 | morning    | administrator | Έλεγχος ταμείου                        |                    1 |
| Emergency         | 2026-01-07 | morning    | doctor        | Γενική Ιατρική                         |                    1 |
| Emergency         | 2026-01-07 | morning    | doctor        | Ουρολογία                              |                    1 |
| Emergency         | 2026-01-07 | morning    | doctor        | Παθολογία                              |                    1 |
| Emergency         | 2026-01-07 | morning    | nurse         | assistant nurse                        |                    2 |
| Emergency         | 2026-01-07 | morning    | nurse         | nurse                                  |                    3 |
| Emergency         | 2026-01-07 | morning    | nurse         | supervisor                             |                    1 |
| Emergency         | 2026-01-07 | night      | administrator | Διαχείριση κλήσεων                     |                    2 |
